descriptor-temperature	descriptor-logPressure	dCO2_g/dCO_s	dCO2_g/dO_s	dCO2_g/dO-CO_s	dCO2_g/dO-O_s	dCO_g/dCO_s	dCO_g/dO_s	dCO_g/dO-CO_s	dCO_g/dO-O_s	dO2_g/dCO_s	dO2_g/dO_s	dO2_g/dO-CO_s	dO2_g/dO-O_s
785.7142857142857	-5.642857142857142	0.0	0.0	0.0	0.0	-2.896138125957102e-45	-1.8210517655236614e-41	-3.7442023892251867e-47	-8.605791910176218e-46	5.792276251914204e-45	3.6421035310473227e-41	7.488404778450373e-47	1.7211583820352437e-45
785.7142857142857	-6.428571428571429	0.0	0.0	0.0	0.0	2.883793624232618e-42	-9.523510505479035e-41	-4.1571323357325165e-43	-7.971156020779097e-42	-5.767587248465236e-42	1.904702101095807e-40	8.314264671465033e-43	1.5942312041558193e-41
785.7142857142857	-7.214285714285714	0.0	0.0	0.0	0.0	2.392025425410346e-40	-5.905398512817296e-41	-6.832471040547521e-41	-6.575034360861952e-40	-4.784050850820692e-40	1.1810797025634592e-40	1.3664942081095042e-40	1.3150068721723904e-39
785.7142857142857	-8.0	0.0	0.0	0.0	0.0	9.615148215703512e-40	8.674746106925557e-40	-1.1416909171360367e-39	-2.6425122411095615e-39	-1.9230296431407024e-39	-1.7349492213851114e-39	2.2833818342720734e-39	5.285024482219123e-39
742.8571428571429	3.0	0.0	0.0	0.0	0.0	-1.1041336205237342e-49	-1.1586587375866345e-49	1.2717219386465124e-50	3.0343819139647676e-49	2.2082672410474685e-49	2.317317475173269e-49	-2.543443877293025e-50	-6.068763827929535e-49
742.8571428571429	2.2142857142857135	0.0	0.0	0.0	0.0	-8.880203308904107e-48	-9.318731867368506e-48	1.022755652972134e-48	2.440446440812947e-47	1.7760406617808214e-47	1.8637463734737013e-47	-2.045511305944268e-48	-4.880892881625894e-47
742.8571428571429	1.4285714285714288	0.0	0.0	0.0	0.0	5.602494538505708e-46	-4.534612605346549e-47	4.976678258829002e-48	1.1875476043995291e-46	-1.1204989077011415e-45	9.069225210693099e-47	-9.953356517658004e-48	-2.3750952087990583e-46
742.8571428571429	0.6428571428571423	0.0	0.0	0.0	0.0	-5.093652711746329e-48	-6.315335003996337e-47	6.930931688343021e-48	1.6538906798427722e-46	1.0187305423492658e-47	1.2630670007992673e-46	-1.3861863376686042e-47	-3.3077813596855445e-46
742.8571428571429	-0.14285714285714324	0.0	0.0	0.0	0.0	-4.769131012846828e-47	-6.685102161219223e-47	7.33672985514224e-48	1.7507267902967072e-46	9.538262025693657e-47	1.3370204322438446e-46	-1.467345971028448e-47	-3.5014535805934143e-46
742.8571428571429	-0.9285714285714288	0.0	0.0	0.0	0.0	-5.257190292793911e-47	6.136232878696725e-44	7.402983612198217e-48	1.7665369631256862e-46	1.0514380585587821e-46	-1.227246575739345e-43	-1.4805967224396434e-47	-3.5330739262513725e-46
742.8571428571429	-1.7142857142857144	0.0	0.0	0.0	0.0	-5.317832484841401e-47	6.125131905219534e-44	7.395463363555756e-48	1.7647420230194067e-46	1.0635664969682802e-46	-1.2250263810439068e-43	-1.4790926727111512e-47	-3.529484046038813e-46
742.8571428571429	-2.5	0.0	0.0	0.0	0.0	-5.246306370593068e-47	6.030628118046465e-44	7.281603090612365e-48	1.7375691560821615e-46	1.0492612741186136e-46	-1.206125623609293e-43	-1.456320618122473e-47	-3.475138312164323e-46
742.8571428571429	-3.2857142857142856	0.0	0.0	0.0	0.0	-4.738679814938941e-47	5.449267991868669e-44	6.575798059670447e-48	1.5691303417012321e-46	9.477359629877882e-47	-1.0898535983737337e-43	-1.3151596119340893e-47	-3.1382606834024642e-46
742.8571428571429	-4.071428571428571	0.0	0.0	0.0	0.0	-1.644205474535257e-47	1.899266974962984e-44	2.283424890007429e-48	5.448406979746156e-47	3.288410949070514e-47	-3.798533949925968e-44	-4.566849780014858e-48	-1.0896813959492312e-46
742.8571428571429	-4.857142857142858	0.0	0.0	0.0	0.0	1.6641840411459238e-46	-1.9769290844841313e-43	-2.3232167369533725e-47	-5.5411920700433606e-46	-3.3283680822918475e-46	3.9538581689682626e-43	4.646433473906745e-47	1.1082384140086721e-45
742.8571428571429	-5.642857142857142	0.0	0.0	0.0	0.0	1.0659787429903667e-45	-1.5184971363550134e-42	-1.5433403425245777e-46	-3.6723418041823685e-45	-2.1319574859807335e-45	3.036994272710027e-42	3.0866806850491553e-46	7.344683608364737e-45
742.8571428571429	-6.428571428571429	0.0	0.0	0.0	0.0	7.151691294599197e-46	-9.50080683946736e-42	-2.8123409944052235e-46	-6.596657062556474e-45	-1.4303382589198394e-45	1.900161367893472e-41	5.624681988810447e-46	1.3193314125112948e-44
